File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 76826 (14.80%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 363836 (70.10%), 155165 (29.90%), 519001
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
norm,test1,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,519000.562000
grad_norm,test1,14565.000000,0.001000,13391.000000,14439.469000,0.000000,0.000000,14439.469000,209.530746,104.765373,78338.241000,77.242294,76.035385,0.000000,-nan,0.000000,519000.562000
layernorm,test1,0.001000,0.001000,0.001000,0.000000,0.000000,28878.868000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,28878.868000,104.765625,104.765625,519000.562000
embedding_layer,test1,0.001000,0.001000,0.001000,188.664000,0.000000,188.664000,188.664000,103.523987,103.523987,0.000000,-nan,0.000000,188.664000,103.523987,103.523987,519000.562000
attention_column_layer,test1,375.000000,375.000000,375.000000,94.367000,0.000000,94.377000,94.367000,206.971191,103.485596,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,519000.562000
attention_row_layer,test1,376.000000,376.000000,376.000000,94.377000,0.000000,94.367000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.367000,206.971191,103.485596,519000.562000
mlp_column_layer,test1,923.000000,923.000000,923.000000,94.367000,0.000000,94.377000,94.367000,206.971191,103.485596,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,519000.562000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,94.377000,0.000000,94.367000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.367000,206.971191,103.485596,519000.562000
attention_column_layer,test1,375.000000,375.000000,375.000000,94.367000,0.000000,94.377000,94.367000,206.971191,103.485596,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,519000.562000
attention_row_layer,test1,376.000000,376.000000,376.000000,94.377000,0.000000,94.367000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.367000,206.971191,103.485596,519000.562000
mlp_column_layer,test1,923.000000,923.000000,923.000000,94.367000,0.000000,94.377000,94.367000,206.971191,103.485596,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,519000.562000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,94.377000,0.000000,94.367000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.367000,206.971191,103.485596,519000.562000
attention_column_layer,test1,375.000000,375.000000,375.000000,94.367000,0.000000,94.377000,94.367000,206.971191,103.485596,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,519000.562000
attention_row_layer,test1,376.000000,376.000000,376.000000,94.377000,0.000000,94.367000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.367000,206.971191,103.485596,519000.562000
mlp_column_layer,test1,923.000000,923.000000,923.000000,94.367000,0.000000,94.377000,94.367000,206.971191,103.485596,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,519000.562000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,94.377000,0.000000,94.367000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.367000,206.971191,103.485596,519000.562000
attention_column_layer,test1,375.000000,375.000000,375.000000,94.367000,0.000000,94.377000,94.367000,206.971191,103.485596,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,519000.562000
attention_row_layer,test1,376.000000,376.000000,376.000000,94.377000,0.000000,94.367000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.367000,206.971191,103.485596,519000.562000
mlp_column_layer,test1,923.000000,923.000000,923.000000,94.367000,0.000000,94.377000,94.367000,206.971191,103.485596,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,519000.562000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,94.377000,0.000000,94.367000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.367000,206.971191,103.485596,519000.562000
attention_column_layer,test1,375.000000,375.000000,375.000000,94.367000,0.000000,94.377000,94.367000,206.971191,103.485596,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,519000.562000
attention_row_layer,test1,376.000000,376.000000,376.000000,94.377000,0.000000,94.367000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.367000,206.971191,103.485596,519000.562000
mlp_column_layer,test1,923.000000,923.000000,923.000000,94.367000,0.000000,94.377000,94.367000,206.971191,103.485596,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,519000.562000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,94.377000,0.000000,94.367000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.367000,206.971191,103.485596,519000.562000
attention_column_layer,test1,375.000000,375.000000,375.000000,94.367000,0.000000,94.377000,94.367000,206.971191,103.485596,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,519000.562000
attention_row_layer,test1,376.000000,376.000000,376.000000,94.377000,0.000000,94.367000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.367000,206.971191,103.485596,519000.562000
mlp_column_layer,test1,923.000000,923.000000,923.000000,94.367000,0.000000,94.377000,94.367000,206.971191,103.485596,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,519000.562000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,94.377000,0.000000,94.367000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.367000,206.971191,103.485596,519000.562000
attention_column_layer,test1,375.000000,375.000000,375.000000,94.367000,0.000000,94.377000,94.367000,206.971191,103.485596,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,519000.562000
attention_row_layer,test1,376.000000,376.000000,376.000000,94.377000,0.000000,94.367000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.367000,206.971191,103.485596,519000.562000
mlp_column_layer,test1,923.000000,923.000000,923.000000,94.367000,0.000000,94.377000,94.367000,206.971191,103.485596,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,519000.562000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,94.377000,0.000000,94.367000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.367000,206.971191,103.485596,519000.562000
attention_column_layer,test1,375.000000,375.000000,375.000000,94.367000,0.000000,94.377000,94.367000,206.971191,103.485596,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,519000.562000
attention_row_layer,test1,376.000000,376.000000,376.000000,94.377000,0.000000,94.367000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.367000,206.971191,103.485596,519000.562000
mlp_column_layer,test1,923.000000,923.000000,923.000000,94.367000,0.000000,94.377000,94.367000,206.971191,103.485596,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,519000.562000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,94.377000,0.000000,94.367000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.367000,206.971191,103.485596,519000.562000
attention_column_layer,test1,375.000000,375.000000,375.000000,94.367000,0.000000,94.377000,94.367000,206.971191,103.485596,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,519000.562000
attention_row_layer,test1,376.000000,376.000000,376.000000,94.377000,0.000000,94.367000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.367000,206.971191,103.485596,519000.562000
mlp_column_layer,test1,923.000000,923.000000,923.000000,94.367000,0.000000,94.377000,94.367000,206.971191,103.485596,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,519000.562000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,94.377000,0.000000,94.367000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.367000,206.971191,103.485596,519000.562000
