File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 165329 (61.46%), 0 (0.00%), 79758 (29.65%), 23936 (8.90%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 269023 (100.00%), 269024
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
grad_norm,test1,0.001000,0.001000,0.001000,31406.739000,165329.305000,0.000000,31406.739000,209.539841,104.769920,165329.306000,79.610367,77.122543,0.000000,-nan,0.000000,269023.605000
embedding_layer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,269023.605000
attention_column,test1,0.001000,0.001000,0.001000,187.573000,0.000000,0.000000,187.573000,208.252258,104.126129,0.000000,-nan,0.000000,0.000000,-nan,0.000000,269023.605000
attention_row,test1,0.001000,0.001000,0.001000,187.583000,0.000000,0.000000,187.583000,208.241150,104.120575,0.000000,-nan,0.000000,0.000000,inf,0.000000,269023.605000
mlp_moelayer,test1,0.001000,0.001000,0.001000,5.820000,0.000000,5.820000,5.820000,167.794250,83.897125,0.000000,-nan,0.000000,5.820000,167.794250,83.897125,269023.605000
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,269023.605000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,269023.605000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.987000,0.000000,746.814000,373.987000,208.897629,104.448814,0.000000,-nan,0.000000,746.814000,209.222107,104.611053,269023.605000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.987000,373.997000,208.892044,104.446022,0.000000,-nan,0.000000,373.987000,208.897629,104.448814,269023.605000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,269023.605000
