File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 389905 (54.87%), 0 (0.00%), 40131 (5.65%), 280558 (39.48%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 710594 (100.00%), 710594
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
grad_norm,test1,0.001000,0.001000,0.001000,9815.477000,389905.041000,0.000000,9815.477000,670.468018,335.234009,389905.042000,33.756748,32.701851,0.000000,-nan,0.000000,710594.125000
embedding_layer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,710594.125000
attention_column,test1,0.001000,0.001000,0.001000,59.489000,0.000000,0.000000,59.489000,656.633972,328.316986,0.000000,-nan,0.000000,0.000000,-nan,0.000000,710594.125000
attention_row,test1,0.001000,0.001000,0.001000,59.489000,0.000000,0.000000,59.489000,656.633972,328.316986,0.000000,-nan,0.000000,0.000000,inf,0.000000,710594.125000
mlp_moelayer,test1,0.001000,0.001000,0.001000,2.691000,0.000000,3.646000,2.691000,362.899475,181.449738,0.000000,-nan,0.000000,3.646000,267.844910,133.922455,710594.125000
mlp_moelayer,test1,0.001000,0.001000,0.001000,30.362000,0.000000,285.434000,30.362000,643.279419,321.639709,0.000000,-nan,0.000000,285.434000,68.426498,34.213249,710594.125000
mlp_moelayer,test1,0.001000,0.001000,0.001000,4872.688000,0.000000,4863.763000,4872.688000,16.033245,15.532207,0.000000,-nan,0.000000,4863.763000,16.062666,15.560708,710594.125000
mlp_moelayer,test1,0.001000,0.001000,0.001000,117.618000,0.000000,238.026000,117.618000,664.226562,332.113281,0.000000,-nan,0.000000,238.026000,656.440918,328.220459,710594.125000
mlp_moelayer,test1,0.001000,0.001000,0.001000,117.868000,0.000000,220.163000,117.868000,662.817749,331.408875,0.000000,-nan,0.000000,220.163000,354.850739,177.425369,710594.125000
mlp_moelayer,test1,0.001000,0.001000,0.001000,5327.554000,0.000000,3939.966000,5327.554000,14.664329,14.206068,0.000000,-nan,0.000000,3939.966000,19.828852,19.209200,710594.125000
mlp_moelayer,test1,0.001000,0.001000,0.001000,30.237000,0.000000,30.485000,30.237000,645.938721,322.969360,0.000000,-nan,0.000000,30.485000,640.683960,320.341980,710594.125000
attention_column,test1,0.001000,0.001000,0.001000,59.714000,0.000000,0.000000,59.714000,654.159851,327.079926,0.000000,-nan,0.000000,0.000000,-nan,0.000000,710594.125000
attention_row,test1,0.001000,0.001000,0.001000,59.714000,0.000000,0.000000,59.714000,654.159851,327.079926,0.000000,-nan,0.000000,0.000000,inf,0.000000,710594.125000
mlp_moelayer,test1,0.001000,0.001000,0.001000,2.741000,0.000000,2.991000,2.741000,356.279633,178.139816,0.000000,-nan,0.000000,2.991000,326.500336,163.250168,710594.125000
mlp_moelayer,test1,0.001000,0.001000,0.001000,30.587000,0.000000,30.237000,30.587000,638.547424,319.273712,0.000000,-nan,0.000000,30.237000,645.938721,322.969360,710594.125000
mlp_moelayer,test1,0.001000,0.001000,0.001000,3674.142000,0.000000,5207.540000,3674.142000,21.263468,20.598984,0.000000,-nan,0.000000,5207.540000,15.002285,14.533463,710594.125000
mlp_moelayer,test1,0.001000,0.001000,0.001000,134.572000,0.000000,241.657000,134.572000,580.544250,290.272125,0.000000,-nan,0.000000,241.657000,646.577576,323.288788,710594.125000
mlp_moelayer,test1,0.001000,0.001000,0.001000,131.805000,0.000000,117.618000,131.805000,592.731689,296.365845,0.000000,-nan,0.000000,117.618000,664.226562,332.113281,710594.125000
mlp_moelayer,test1,0.001000,0.001000,0.001000,4699.181000,0.000000,4660.495000,4699.181000,16.625237,16.105698,0.000000,-nan,0.000000,4660.495000,16.763241,16.239389,710594.125000
mlp_moelayer,test1,0.001000,0.001000,0.001000,30.237000,0.000000,30.310000,30.237000,645.938721,322.969360,0.000000,-nan,0.000000,30.310000,644.383057,322.191528,710594.125000
attention_column,test1,0.001000,0.001000,0.001000,67.470000,0.000000,0.000000,67.470000,578.960999,289.480499,0.000000,-nan,0.000000,0.000000,-nan,0.000000,710594.125000
attention_row,test1,0.001000,0.001000,0.001000,60.114000,0.000000,0.000000,60.114000,649.807007,324.903503,0.000000,-nan,0.000000,0.000000,inf,0.000000,710594.125000
mlp_moelayer,test1,0.001000,0.001000,0.001000,2.741000,0.000000,2.816000,2.741000,356.279633,178.139816,0.000000,-nan,0.000000,2.816000,346.790649,173.395325,710594.125000
mlp_moelayer,test1,0.001000,0.001000,0.001000,30.662000,0.000000,30.237000,30.662000,636.985535,318.492767,0.000000,-nan,0.000000,30.237000,645.938721,322.969360,710594.125000
