File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 492495 (61.49%), 0 (0.00%), 41816 (5.22%), 266675 (33.29%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 800987 (100.00%), 800987
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
grad_norm,test1,0.001000,0.001000,0.001000,9815.477000,492495.461000,0.000000,9815.477000,670.468018,335.234009,492495.462000,26.724970,25.889814,0.000000,-nan,0.000000,800987.012000
embedding_layer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,800987.012000
attention_column,test1,0.001000,0.001000,0.001000,59.489000,0.000000,0.000000,59.489000,656.633972,328.316986,0.000000,-nan,0.000000,0.000000,-nan,0.000000,800987.012000
attention_row,test1,0.001000,0.001000,0.001000,59.489000,0.000000,0.000000,59.489000,656.633972,328.316986,0.000000,-nan,0.000000,0.000000,inf,0.000000,800987.012000
mlp_moelayer,test1,0.001000,0.001000,0.001000,2.691000,0.000000,4.827000,2.691000,362.899475,181.449738,0.000000,-nan,0.000000,4.827000,202.312515,101.156258,800987.012000
mlp_moelayer,test1,0.001000,0.001000,0.001000,30.362000,0.000000,166.266000,30.362000,643.279419,321.639709,0.000000,-nan,0.000000,166.266000,117.469894,58.734947,800987.012000
mlp_moelayer,test1,0.001000,0.001000,0.001000,4663.664000,0.000000,4585.562000,4663.664000,16.751850,16.228355,0.000000,-nan,0.000000,4585.562000,17.037170,16.504759,800987.012000
mlp_moelayer,test1,0.001000,0.001000,0.001000,233.954000,0.000000,240.868000,233.954000,333.933167,166.966583,0.000000,-nan,0.000000,240.868000,648.695557,324.347778,800987.012000
mlp_moelayer,test1,0.001000,0.001000,0.001000,139.536000,0.000000,267.667000,139.536000,559.891357,279.945679,0.000000,-nan,0.000000,267.667000,291.873871,145.936935,800987.012000
mlp_moelayer,test1,0.001000,0.001000,0.001000,4934.008000,0.000000,2260.537000,4934.008000,15.833983,15.339171,0.000000,-nan,0.000000,2260.537000,34.560371,33.480358,800987.012000
mlp_moelayer,test1,0.001000,0.001000,0.001000,30.237000,0.000000,30.443000,30.237000,645.938721,322.969360,0.000000,-nan,0.000000,30.443000,641.567871,320.783936,800987.012000
attention_column,test1,0.001000,0.001000,0.001000,59.614000,0.000000,0.000000,59.614000,655.257141,327.628571,0.000000,-nan,0.000000,0.000000,-nan,0.000000,800987.012000
attention_row,test1,0.001000,0.001000,0.001000,59.435000,0.000000,0.000000,59.435000,657.230591,328.615295,0.000000,-nan,0.000000,0.000000,inf,0.000000,800987.012000
