File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 413084 (30.32%), 0 (0.00%), 37459 (2.75%), 911894 (66.93%), 0 (0.00%), 0 (0.00%), 1 (0.00%), 1362438 (100.00%), 1362439
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
grad_norm,test1,0.001000,0.001000,0.001000,4224.073000,413083.976000,0.000000,4224.073000,670.197510,335.098755,413083.977000,13.706477,12.849822,0.000000,-nan,0.000000,1362438.960000
embedding_layer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,1362438.960000
attention_column,test1,0.001000,0.001000,0.001000,60.489000,0.000000,0.000000,60.489000,645.778564,322.889282,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1362438.960000
attention_row,test1,0.001000,0.001000,0.001000,60.489000,0.000000,0.000000,60.489000,645.778564,322.889282,0.000000,-nan,0.000000,0.000000,inf,0.000000,1362438.960000
mlp_moelayer,test1,0.001000,0.001000,0.001000,2.417000,0.000000,2.542000,2.417000,50.504887,25.252443,0.000000,-nan,0.000000,2.542000,48.021366,24.010683,1362438.960000
mlp_moelayer,test1,0.001000,0.001000,0.001000,31.362000,0.000000,31.237000,31.362000,622.768005,311.384003,0.000000,-nan,0.000000,31.237000,625.260132,312.630066,1362438.960000
mlp_moelayer,test1,0.001000,0.001000,0.001000,6209.896000,0.000000,7008.241000,6209.896000,12.580726,11.794431,0.000000,-nan,0.000000,7008.241000,11.147591,10.450867,1362438.960000
mlp_moelayer,test1,0.001000,0.001000,0.001000,367.733000,0.000000,235.376000,367.733000,212.450333,106.225166,0.000000,-nan,0.000000,235.376000,663.831482,331.915741,1362438.960000
mlp_moelayer,test1,0.001000,0.001000,0.001000,118.660000,0.000000,118.618000,118.660000,658.393738,329.196869,0.000000,-nan,0.000000,118.618000,658.626831,329.313416,1362438.960000
mlp_moelayer,test1,0.001000,0.001000,0.001000,6657.259000,0.000000,7257.599000,6657.259000,11.735311,11.001854,0.000000,-nan,0.000000,7257.599000,10.764580,10.091793,1362438.960000
mlp_moelayer,test1,0.001000,0.001000,0.001000,31.237000,0.000000,31.310000,31.237000,625.260132,312.630066,0.000000,-nan,0.000000,31.310000,623.802307,311.901154,1362438.960000
attention_column,test1,0.001000,0.001000,0.001000,60.614000,0.000000,0.000000,60.614000,644.446838,322.223419,0.000000,-nan,0.000000,0.000000,-nan,0.000000,1362438.960000
attention_row,test1,0.001000,0.001000,0.001000,60.435000,0.000000,0.000000,60.435000,646.355591,323.177795,0.000000,-nan,0.000000,0.000000,inf,0.000000,1362438.960000
mlp_moelayer,test1,0.001000,0.001000,0.001000,2.471000,0.000000,2.542000,2.471000,49.401180,24.700590,0.000000,-nan,0.000000,2.542000,48.021366,24.010683,1362438.960000
mlp_moelayer,test1,0.001000,0.001000,0.001000,31.312000,0.000000,31.237000,31.312000,623.762451,311.881226,0.000000,-nan,0.000000,31.237000,625.260132,312.630066,1362438.960000
mlp_moelayer,test1,0.001000,0.001000,0.001000,6694.123000,0.000000,6345.760000,6694.123000,11.670685,10.941267,0.000000,-nan,0.000000,6345.760000,12.311370,11.541909,1362438.960000
mlp_moelayer,test1,0.001000,0.001000,0.001000,118.618000,0.000000,235.376000,118.618000,658.626831,329.313416,0.000000,-nan,0.000000,235.376000,663.831482,331.915741,1362438.960000
