File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 19289 (10.93%), 0 (0.00%), 22313 (12.64%), 134945 (76.44%), 0 (0.00%), 0 (0.00%), 1 (0.00%), 176548 (100.00%), 176549
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
grad_norm,test1,0.001000,0.001000,0.001000,1689.954000,19289.412000,0.000000,1689.954000,1675.171753,837.585876,19289.413000,293.525055,275.179749,0.000000,-nan,0.000000,176549.229000
embedding_layer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,176549.229000
attention_column,test1,0.001000,0.001000,0.001000,24.520000,0.000000,0.000000,24.520000,1593.087280,796.543640,0.000000,-nan,0.000000,0.000000,-nan,0.000000,176549.229000
attention_row,test1,0.001000,0.001000,0.001000,24.520000,0.000000,0.000000,24.520000,1593.087280,796.543640,0.000000,-nan,0.000000,0.000000,inf,0.000000,176549.229000
mlp_moelayer,test1,0.001000,0.001000,0.001000,1.292000,0.000000,1.402000,1.292000,94.481667,47.240833,0.000000,-nan,0.000000,1.402000,87.068695,43.534348,176549.229000
mlp_moelayer,test1,0.001000,0.001000,0.001000,12.870000,0.000000,12.760000,12.870000,1517.579590,758.789795,0.000000,-nan,0.000000,12.760000,1530.662231,765.331116,176549.229000
mlp_moelayer,test1,0.001000,0.001000,0.001000,1289.362000,0.000000,1229.861000,1289.362000,60.591984,56.804985,0.000000,-nan,0.000000,1229.861000,63.523438,59.553223,176549.229000
mlp_moelayer,test1,0.001000,0.001000,0.001000,129.911000,0.000000,99.196000,129.911000,601.373230,300.686615,0.000000,-nan,0.000000,99.196000,1575.164307,787.582153,176549.229000
mlp_moelayer,test1,0.001000,0.001000,0.001000,53.005000,0.000000,47.712000,53.005000,1473.917603,736.958801,0.000000,-nan,0.000000,47.712000,1637.428711,818.714355,176549.229000
mlp_moelayer,test1,0.001000,0.001000,0.001000,852.509000,0.000000,1260.964000,852.509000,91.641258,85.913681,0.000000,-nan,0.000000,1260.964000,61.956566,58.084282,176549.229000
mlp_moelayer,test1,0.001000,0.001000,0.001000,301.355000,0.000000,12.790000,301.355000,64.811432,32.405716,0.000000,-nan,0.000000,12.790000,1527.071899,763.535950,176549.229000
attention_column,test1,0.001000,0.001000,0.001000,28.261000,0.000000,0.000000,28.261000,1382.205200,691.102600,0.000000,-nan,0.000000,0.000000,-nan,0.000000,176549.229000
attention_row,test1,0.001000,0.001000,0.001000,24.630000,0.000000,0.000000,24.630000,1585.972412,792.986206,0.000000,-nan,0.000000,0.000000,inf,0.000000,176549.229000
mlp_moelayer,test1,0.001000,0.001000,0.001000,1.210000,0.000000,1.402000,1.210000,100.884552,50.442276,0.000000,-nan,0.000000,1.402000,87.068695,43.534348,176549.229000
mlp_moelayer,test1,0.001000,0.001000,0.001000,12.952000,0.000000,12.760000,12.952000,1507.971802,753.985901,0.000000,-nan,0.000000,12.760000,1530.662231,765.331116,176549.229000
mlp_moelayer,test1,0.001000,0.001000,0.001000,754.950000,0.000000,1356.311000,754.950000,103.483673,97.015945,0.000000,-nan,0.000000,1356.311000,57.601097,54.001030,176549.229000
mlp_moelayer,test1,0.001000,0.001000,0.001000,617.892000,0.000000,102.206000,617.892000,126.437950,63.218975,0.000000,-nan,0.000000,102.206000,1528.775269,764.387634,176549.229000
mlp_moelayer,test1,0.001000,0.001000,0.001000,53.005000,0.000000,47.712000,53.005000,1473.917603,736.958801,0.000000,-nan,0.000000,47.712000,1637.428711,818.714355,176549.229000
mlp_moelayer,test1,0.001000,0.001000,0.001000,982.754000,0.000000,1066.182000,982.754000,79.495987,74.527489,0.000000,-nan,0.000000,1066.182000,73.275482,68.695763,176549.229000
mlp_moelayer,test1,0.001000,0.001000,0.001000,61.737000,0.000000,12.770000,61.737000,316.362152,158.181076,0.000000,-nan,0.000000,12.770000,1529.463623,764.731812,176549.229000
attention_column,test1,0.001000,0.001000,0.001000,24.420000,0.000000,0.000000,24.420000,1599.610962,799.805481,0.000000,-nan,0.000000,0.000000,-nan,0.000000,176549.229000
attention_row,test1,0.001000,0.001000,0.001000,24.620000,0.000000,0.000000,24.620000,1586.616577,793.308289,0.000000,-nan,0.000000,0.000000,inf,0.000000,176549.229000
mlp_moelayer,test1,0.001000,0.001000,0.001000,1.220000,0.000000,2.202000,1.220000,100.057632,50.028816,0.000000,-nan,0.000000,2.202000,55.436108,27.718054,176549.229000
mlp_moelayer,test1,0.001000,0.001000,0.001000,12.942000,0.000000,16.406000,12.942000,1509.136963,754.568481,0.000000,-nan,0.000000,16.406000,1190.494385,595.247192,176549.229000
mlp_moelayer,test1,0.001000,0.001000,0.001000,1054.871000,0.000000,1243.710000,1054.871000,74.061188,69.432365,0.000000,-nan,0.000000,1243.710000,62.816090,58.890083,176549.229000
mlp_moelayer,test1,0.001000,0.001000,0.001000,320.557000,0.000000,94.536000,320.557000,243.716400,121.858200,0.000000,-nan,0.000000,94.536000,1652.809570,826.404785,176549.229000
