File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 76823 (16.36%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 363836 (77.49%), 105702 (22.51%), 469538
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
norm,test1,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,469537.659000
grad_norm,test1,14565.000000,0.001000,13391.000000,14439.468000,0.000000,0.000000,14439.468000,209.530762,104.765381,28877.778000,209.539154,206.265106,0.000000,-nan,0.000000,469537.659000
layernorm,test1,0.001000,0.001000,0.001000,0.000000,0.000000,28878.811000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,28878.811000,104.765831,104.765831,469537.659000
embedding_layer,test1,0.001000,0.001000,0.001000,188.607000,0.000000,188.607000,188.607000,103.555275,103.555275,0.000000,-nan,0.000000,188.607000,103.555275,103.555275,469537.659000
attention_column_layer,test1,375.000000,375.000000,375.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_row_layer,test1,376.000000,376.000000,376.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_column_layer,test1,923.000000,923.000000,923.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_column_layer,test1,375.000000,375.000000,375.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_row_layer,test1,376.000000,376.000000,376.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_column_layer,test1,923.000000,923.000000,923.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_column_layer,test1,375.000000,375.000000,375.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_row_layer,test1,376.000000,376.000000,376.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_column_layer,test1,923.000000,923.000000,923.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_column_layer,test1,375.000000,375.000000,375.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_row_layer,test1,376.000000,376.000000,376.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_column_layer,test1,923.000000,923.000000,923.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_column_layer,test1,375.000000,375.000000,375.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_row_layer,test1,376.000000,376.000000,376.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_column_layer,test1,923.000000,923.000000,923.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_column_layer,test1,375.000000,375.000000,375.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_row_layer,test1,376.000000,376.000000,376.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_column_layer,test1,923.000000,923.000000,923.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_column_layer,test1,375.000000,375.000000,375.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_row_layer,test1,376.000000,376.000000,376.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_column_layer,test1,923.000000,923.000000,923.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_column_layer,test1,375.000000,375.000000,375.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_row_layer,test1,376.000000,376.000000,376.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_column_layer,test1,923.000000,923.000000,923.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_column_layer,test1,375.000000,375.000000,375.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_row_layer,test1,376.000000,376.000000,376.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_column_layer,test1,923.000000,923.000000,923.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_column_layer,test1,375.000000,375.000000,375.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_row_layer,test1,376.000000,376.000000,376.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_column_layer,test1,923.000000,923.000000,923.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_column_layer,test1,375.000000,375.000000,375.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_row_layer,test1,376.000000,376.000000,376.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_column_layer,test1,923.000000,923.000000,923.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_column_layer,test1,375.000000,375.000000,375.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_row_layer,test1,376.000000,376.000000,376.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_column_layer,test1,923.000000,923.000000,923.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_column_layer,test1,375.000000,375.000000,375.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_row_layer,test1,376.000000,376.000000,376.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_column_layer,test1,923.000000,923.000000,923.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_column_layer,test1,375.000000,375.000000,375.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_row_layer,test1,376.000000,376.000000,376.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_column_layer,test1,923.000000,923.000000,923.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_column_layer,test1,375.000000,375.000000,375.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
attention_row_layer,test1,376.000000,376.000000,376.000000,94.366000,0.000000,94.366000,94.366000,206.973373,103.486687,0.000000,-nan,0.000000,94.366000,206.973373,103.486687,469537.659000
