File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 24305 (3.69%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 363836 (55.22%), 295077 (44.78%), 658913
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
norm,test1,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,658913.066000
grad_norm,test1,14565.000000,0.001000,13391.000000,4513.205000,0.000000,0.000000,4513.205000,670.369019,335.184509,270771.339000,22.347363,21.998184,0.000000,-nan,0.000000,658913.066000
layernorm,test1,0.001000,0.001000,0.001000,0.000000,0.000000,9026.300000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,9026.300000,335.188568,335.188568,658913.066000
embedding_layer,test1,0.001000,0.001000,0.001000,60.609000,0.000000,60.609000,60.609000,322.250000,322.250000,0.000000,-nan,0.000000,60.609000,322.250000,322.250000,658913.066000
attention_column_layer,test1,375.000000,375.000000,375.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
attention_row_layer,test1,376.000000,376.000000,376.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
mlp_column_layer,test1,923.000000,923.000000,923.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
attention_column_layer,test1,375.000000,375.000000,375.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
attention_row_layer,test1,376.000000,376.000000,376.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
mlp_column_layer,test1,923.000000,923.000000,923.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
attention_column_layer,test1,375.000000,375.000000,375.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
attention_row_layer,test1,376.000000,376.000000,376.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
mlp_column_layer,test1,923.000000,923.000000,923.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
attention_column_layer,test1,375.000000,375.000000,375.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
attention_row_layer,test1,376.000000,376.000000,376.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
mlp_column_layer,test1,923.000000,923.000000,923.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
attention_column_layer,test1,375.000000,375.000000,375.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
attention_row_layer,test1,376.000000,376.000000,376.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
mlp_column_layer,test1,923.000000,923.000000,923.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
attention_column_layer,test1,375.000000,375.000000,375.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
attention_row_layer,test1,376.000000,376.000000,376.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
mlp_column_layer,test1,923.000000,923.000000,923.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
attention_column_layer,test1,375.000000,375.000000,375.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
attention_row_layer,test1,376.000000,376.000000,376.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
mlp_column_layer,test1,923.000000,923.000000,923.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
attention_column_layer,test1,375.000000,375.000000,375.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
attention_row_layer,test1,376.000000,376.000000,376.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
mlp_column_layer,test1,923.000000,923.000000,923.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
attention_column_layer,test1,375.000000,375.000000,375.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
attention_row_layer,test1,376.000000,376.000000,376.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
mlp_column_layer,test1,923.000000,923.000000,923.000000,30.361000,0.000000,30.361000,30.361000,643.300598,321.650299,0.000000,-nan,0.000000,30.361000,643.300598,321.650299,658913.066000
