File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 24280 (6.11%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 363836 (91.61%), 33305 (8.39%), 397141
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
norm,test1,0.000000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,397141.408000
grad_norm,test1,14565.000000,0.001000,13391.000000,4513.130000,0.000000,0.000000,4513.130000,670.380127,335.190063,9025.102000,670.466125,659.990112,0.000000,-nan,0.000000,397141.408000
layernorm,test1,0.001000,0.001000,0.001000,0.000000,0.000000,9026.150000,0.000000,-nan,0.000000,0.000000,-nan,0.000000,9026.150000,335.194153,335.194153,397141.408000
embedding_layer,test1,0.001000,0.001000,0.001000,60.459000,0.000000,60.459000,60.459000,323.049500,323.049500,0.000000,-nan,0.000000,60.459000,323.049500,323.049500,397141.408000
attention_column_layer,test1,375.000000,375.000000,375.000000,30.286000,0.000000,30.286000,30.286000,644.893677,322.446838,0.000000,-nan,0.000000,30.286000,644.893677,322.446838,397141.408000
attention_row_layer,test1,376.000000,376.000000,376.000000,30.286000,0.000000,30.286000,30.286000,644.893677,322.446838,0.000000,-nan,0.000000,30.286000,644.893677,322.446838,397141.408000
mlp_column_layer,test1,923.000000,923.000000,923.000000,30.286000,0.000000,30.286000,30.286000,644.893677,322.446838,0.000000,-nan,0.000000,30.286000,644.893677,322.446838,397141.408000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,30.286000,0.000000,30.286000,30.286000,644.893677,322.446838,0.000000,-nan,0.000000,30.286000,644.893677,322.446838,397141.408000
attention_column_layer,test1,375.000000,375.000000,375.000000,30.286000,0.000000,30.286000,30.286000,644.893677,322.446838,0.000000,-nan,0.000000,30.286000,644.893677,322.446838,397141.408000
attention_row_layer,test1,376.000000,376.000000,376.000000,30.286000,0.000000,30.286000,30.286000,644.893677,322.446838,0.000000,-nan,0.000000,30.286000,644.893677,322.446838,397141.408000
mlp_column_layer,test1,923.000000,923.000000,923.000000,30.286000,0.000000,30.286000,30.286000,644.893677,322.446838,0.000000,-nan,0.000000,30.286000,644.893677,322.446838,397141.408000
