UB mesh mode: 32 GPUs with full mesh connectivity (no switches)
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 1: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 2: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 3: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 4: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 5: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 6: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 7: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 8: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 9: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 10: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 11: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 12: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 13: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 14: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 15: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 16: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 17: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 18: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 19: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 20: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 21: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 22: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 23: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 24: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 25: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 26: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 27: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 28: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 29: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 30: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 0 <-> 31: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 1 <-> 2: delay=1000ns, bw=2000000000000
DEBUG: FIXED nbr2if for UB mesh connection 1 <-> 3: delay=1000ns, bw=2000000000000
